Frame	CV
1	-5.597.467.136.436.710
2	-601.119.425.297.602
3	-5.511.466.053.818.000
4	-6.011.816.343.762.250
5	-6.011.520.646.172.720
6	-6.151.450.119.479.700
7	-6.148.861.936.093.270
8	-55.620.961.947.564.800
9	-558.257.230.252.766
10	-5.584.004.299.217.660
11	-6.012.071.674.476.460
12	-6.010.273.462.661.820
13	-61.521.328.059.754.500
14	-614.943.048.175.428
15	-5.601.024.473.190.040
16	-6.152.015.394.606.310
17	-6.150.244.234.753.880
18	-55.991.725.697.800.500
19	-6.149.783.129.058.050
20	-6.150.592.406.323.630
21	-60.116.182.611.196.500
22	-61.481.195.766.646.100
23	-4.418.869.924.361.380
24	-61.502.987.998.708.700
25	-60.072.649.350.664.500
26	-5.583.602.115.507.520
27	-60.103.302.652.769.300
28	-61.524.008.553.560.600
29	-5.592.504.308.410.020
30	-6.149.463.018.908.860
31	-61.501.939.509.271.300
32	-6.149.823.367.026.140
33	-6.150.343.109.403.540
34	-6.151.251.045.514.980
35	-6.148.980.240.210.580
36	-6.151.325.357.395.390
37	-5.995.320.577.672.640
38	-5.994.200.297.847.410
39	-5.992.065.791.253.110
40	-5.992.676.039.849.530
41	-599.890.114.307.691
42	-5.710.795.332.948.140
43	-59.936.773.536.057.400
44	-5.997.431.944.472.730
45	-5.992.335.489.657.850
46	-5.997.108.692.205.800
47	-61.471.998.062.852.400
48	-61.511.742.012.078.600
49	-61.505.081.398.699.900
50	-6.148.970.019.531.580
51	-6.147.363.573.505.930

